arbitrator   n．公断人
arboreal   adj．树木的．
arboretum   n．植物园
arcane   adj．神秘的，秘密的．
archaeology   n．考古学
archer   （运动或战争中的）弓箭手，射手
archetype   n．原型，典型
archipelago   n．群岛
archives   n．档案
ardent   adj．热心的，热烈的
ardor   n．热情，狂热
arduous   adj．费力的，艰难的
arena   n．竞技场
aria   n．独唱曲，咏叹调
aristocrat   n．贵族
arithmetic   n．算术
armada   n．舰队
armistice   n．休战，停战
aroma   n．芳香，香气
aromatic   adj．芳香的
arrogant   adj．傲慢的，自大的
arrogance   n．傲慢，自大
arrogate   v．冒称具有……权力
arson   n．纵火、放火
arsonist   n．纵火犯
arthritis   n关节炎
articulate   v．清楚说话，接合
artifice   n．巧办法，诡计（
artillery   n．大炮，炮兵
artless   adj．粗俗的，自然的
ascend   v．上升，攀登
ascendancy   n．统治权，支配力量
ascent   n．上升攀登
ascertain   v．查明，确定
ascetic   adj．禁欲的n．苦行者
asceticism   n．禁欲主义
aseptic   adj．无菌的，洁净的
asinine   adj．愚笨的
asparagus   n．芦笋（可作蔬菜）
asperity   n．粗鲁，艰苦
aspersion   n．诽谤，中伤
asphyxiate   v．（使）无法呼吸，窒息而死
asphyxia   n．窒息
aspiration   n．渴望，热望
aspirant   n．有抱负者
assail   v．抨击，猛攻
assault   n．突然袭击、猛袭
assent   v．同意，赞成
assert   v．断言，主张
assertive   adj．言语果断的，断言的
asset   n．财产，可取之处
assiduous   adj．勤勉的，专心的
assiduity   n．勤勉
assimilate   v．同化，吸收
assuage   v．缓和，减轻
assured   adj．自信的，确定的
assurance   n．自信，保证
asthma   n．哮喘症
astigmatic   adj．散光的，乱视的
astigmatism   n．散光
astray   adj．迷路的，误入歧途的
astringent   adj．止血的，收缩的n．收缩剂，止血剂
astrolabe   n．星盘（古代星位观侧仪）
astrology   n．占星学，占星术
astute   adj.机敏的,精明的
asunder   adv.分离,化为碎片
asylum   n.避难所,庇护所
asymmetric   adj.不对称的
atheism   n.无神论,不信神
athletics   n.运动,体育
atlas   n.地图集
atonal   adj.(音乐)无调的
atone   v.赎罪,补偿
atonement   n.赎罪,弥补
atrocious   adj.残忍的,凶恶的
atrocity   n.残暴,暴行
atrophy   n.v.萎缩,衰退
attainment   n.完成,成就
attentive   adj.留心听的,关心的
attenuate   v.变薄,变弱
attest   v.证明
attic   n.阁楼,顶楼
attire   v.穿着,装扮n.衣服
attorney   n.律师
attribute   n.属性,品质,v.把…归于
attribution   n.归属
attrition   n.消磨,磨损
attuneto   v.使调和,习惯于
auction   n.拍卖
audacious   adj.大胆的,愚勇的
audacity   n.大胆,鲁莽
audition   n.(演员等)试唱
audit   v.审计,核对,旁听
auditory   adj.听觉的
auger   n.螺丝钻,钻孔机
augment   v.增大,增值
augmentation   n.增加
augury   n.预言,征兆,占卜
auricular   adj.耳的
aurora   n.极光(南北极夜晚所放彩光)
auspicious   adj.幸运的,吉兆的
auspices   n.资助,赞助
austere   adj.朴素的,(人)正经的
austerity   n.朴素,艰苦
